GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HC01,HC02
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic Area,Geographic Area,Dollar,Margin of Error
0100000US,,United States,0500000US06091,06091,United States - California - Sierra County,Sierra County,42833,8464
0100000US,,United States,0500000US06093,06093,United States - California - Siskiyou County,Siskiyou County,37170,1702
0100000US,,United States,0500000US06095,06095,United States - California - Solano County,Solano County,66828,1238
0100000US,,United States,0500000US06097,06097,United States - California - Sonoma County,Sonoma County,64240,1224
0100000US,,United States,0500000US06099,06099,United States - California - Stanislaus County,Stanislaus County,50125,718
0100000US,,United States,0500000US06101,06101,United States - California - Sutter County,Sutter County,52017,1350
0100000US,,United States,0500000US06103,06103,United States - California - Tehama County,Tehama County,41001,2564
0100000US,,United States,0500000US06105,06105,United States - California - Trinity County,Trinity County,34974,4081
0100000US,,United States,0500000US06107,06107,United States - California - Tulare County,Tulare County,42031,920
0100000US,,United States,0500000US06109,06109,United States - California - Tuolumne County,Tuolumne County,50306,2202
0100000US,,United States,0500000US06111,06111,United States - California - Ventura County,Ventura County,77348,954
0100000US,,United States,0500000US06113,06113,United States - California - Yolo County,Yolo County,54989,1553
0100000US,,United States,0500000US06115,06115,United States - California - Yuba County,Yuba County,46892,1931
0100000US,,United States,0400000US08,08,United States - Colorado,Colorado,60629,252
0100000US,,United States,0500000US08001,08001,United States - Colorado - Adams County,Adams County,58946,1016
0100000US,,United States,0500000US08003,08003,United States - Colorado - Alamosa County,Alamosa County,32395,6782
0100000US,,United States,0500000US08005,08005,United States - Colorado - Arapahoe County,Arapahoe County,63265,942
0100000US,,United States,0500000US08007,08007,United States - Colorado - Archuleta County,Archuleta County,46646,4453
0100000US,,United States,0500000US08009,08009,United States - Colorado - Baca County,Baca County,38000,3517
0100000US,,United States,0500000US08011,08011,United States - Colorado - Bent County,Bent County,36791,5397
0100000US,,United States,0500000US08013,08013,United States - Colorado - Boulder County,Boulder County,70961,1552
0100000US,,United States,0500000US08014,08014,United States - Colorado - Broomfield County,Broomfield County,81898,2803
0100000US,,United States,0500000US08015,08015,United States - Colorado - Chaffee County,Chaffee County,51092,2278
0100000US,,United States,0500000US08017,08017,United States - Colorado - Cheyenne County,Cheyenne County,52554,3744
0100000US,,United States,0500000US08019,08019,United States - Colorado - Clear Creek County,Clear Creek County,67710,3884
0100000US,,United States,0500000US08021,08021,United States - Colorado - Conejos County,Conejos County,36652,4979
0100000US,,United States,0500000US08023,08023,United States - Colorado - Costilla County,Costilla County,31321,5677
